id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
155	Januarius, Bischof von Neapel, Märtyrer (um 304)					Hebr 10,32-36	2565	Ps 126	1477			Joh 12,24-26	2344			.	NULL	NULL
156	Andreas Kim Taegon, Priester, und Paul Chong Hasang und Gefährten, Märtyrer (1839-1866)					1 Kor 12,31-13,13	 "
	Ps 126	1477			Lk 7,31-35	2155			.	NULL	NULL
157	MATTHÄUS, APOSTEL UND EVANGELIST					Eph 4,1-7.11-13	2566	Ps 19,2-3.4-5b	1488			Mt 9,9-13	2567			.	NULL	NULL
158	Mauritius u. Gefährten, Märt. der Thebäischen Legion (280-305)					Weish 3,1-9	309	Ps 27,1-3.13-14	1137			Mt 10,28-33	2568			.	NULL	NULL
159	Pius von Pietrelcina, Ordenspriester (1968)					Gal 2,19-20	"
	Ps 16	1474			Mt 16,24-27	 "
			.	NULL	NULL
160	Rupert (718) und Virgil (784), Bischöfe von Salzburg, Glaubensboten					Hebr 13,7-10.14-17	2569	Ps 96,1-3.7-8.10	934			Joh 12,44-50	2570			.	NULL	NULL
161	Niklaus von Flüe, Einsiedler, Friedensstifter (1487)					Röm 14,17-19	2571	Ps 90,12-17	1299			Mt 19,27-29	2273			.	NULL	NULL
162	Kosmas und Damian, Ärzte, Märtyrer in Kleinasien (303)					Weish 3,1-9	309	Ps 126	1477			Mt 10,28-33	2225			.	NULL	NULL
163	Vinzenz von Paul, Priester, Ordensgründer (1660)					1 Kor 26-31	2107	Ps 112,1-7.9	1630			Mt 9,35-38	2280			.	NULL	NULL
164	Lioba, Äbtissin von Tauberbischofsheim (um 782);|break|Wenzel, Herzog von Böhmen, Märtyrer (929);|break|Laurentius Ruiz und Gefährten, Märtyrer (1633-1637)					Weish 7,7-10.13-14.26.27b.29-8,1; 1 Petr 3,14-17	2572; 2574	Ps 73,1.23-26.28; Ps 126	2641; 1477			Joh 15,5.8-12; Mt 10,34-39	2573; 2288			.	NULL	NULL
165	MICHAEL, GABRIEL UND RAFAEL, ERZENGEL					Dan 7,9-10.13-14 |break|(oder: Offb 12,7-12a)	2575	|break|Ps 138,1-2b.2c-3.4-5	1634			Joh 1,47-51	2577			.	NULL	NULL
166	Hieronymus, Priester, Kirchenlehrer (420)					2 Tim 3,14-17	2578	Ps 119,9-14	1343			Mt 13,47-52	2579			.	NULL	NULL
167	Theresia vom Kinde Jesus, Ordensfrau (1897)					Jes 66,10-14c	19	Ps 131	1305			Mt 18,1-5	2551			.	NULL	NULL
168	Schutzengel					Ex 23,20-23a	2580	Ps 91,1-6.10-11	1635			Mt 18,1-5.10	2581		evangelium	.	NULL	NULL
169	Franz von Assisi, Ordensgründer (1226)					Gal 6,14-18	2582	Ps 16,1-2.5.7-9.11	1402			Mt 11,25-30	1652			.	NULL	NULL
170	Bruno, Mönch, Einsiedler, Ordensgründer (1101)					Phil 3,8-14	2278	Ps 1,1-4.6	1486			Lk 9, 57-62	2190			.	NULL	NULL
171	Gedenktag Unserer Lieben Frau vom Rosenkranz					Apg 1,12-14	736	Lk 1,46-55	1247			Lk 1,26-38	699			.	NULL	NULL
172	Dionysius, Bischof von Paris, und Gefährten, Märtyrer (nach 250);Johannes Leonardi, Priester, Ordensgründer (1609)					2 Kor 6,4-10; 2 Kor 4,1-2.5-7	2583; 2361	Ps 126; Ps 96,1-3.7-8.10	1477; 934			Mt 5,13-16; Lk 5,1-11	2252; 2411			.	NULL	NULL
173	Kallistus I., Papst, Märtyrer (222)					1 Petr 5,1-4	2222	Ps 40, 2.4a-b.7-10	912			Lk 22,24-30	2295			.	NULL	NULL
174	Theresia von Jesus (von Ávila), Ordensfr., Kirchenl. (1582)					Röm 8,22-27	209	Ps 19,8-12	2640			Joh 15,1-8	465			.	NULL	NULL
175	Hedwig v. Andechs, Herzogin (1243); Gallus, Mönch, Einsiedler, Glaubensb. (640); Margareta Maria Alacoque, Ordensfr. (1690)					Gal 6,7b-10; Gen 12,1-4a; Eph 3,14-19	2584; 2586; 2355	Ps 34,2-11; Ps 132,6-7.9-10.13-14; Ps 23	1479; 1637; 1246			Mk 10,42-45; Mt 19,27-29; Mt 11,25-30	2585; 2273; 1652			.	NULL	NULL
176	Ignatius, Bischof von Antiochien, Märtyrer (um 115)					Phil 3,17-4,1	2588	Ps 34,2-9	1313			Joh 12,24-26	2344			.	NULL	NULL
177	LUKAS, EVANGELIST					2 Tim 4,10-17b	2589	|break|Ps 145,10-11.12-13b.17-18	1629			|break|Lk 10,1-9	935			.	NULL	NULL
178	Johannes de Brébeuf, Isaak Jogues, Pr., und Gefährten, Märt. in Nordamerika (1642-1649); Paul vom Kreuz, Pr., Ordensgr. (1775)					2 Kor 4,7-15; 1 Kor 1,18-25	2590; 2279	Ps 126; Ps 117	1477; 982			Mt 28,16-20; Mt 16,24-27	690; 2592			.	NULL	NULL
179	Wendelin, Einsiedler im Saarland (6. Jh.)					1 Kor 1,26-31	2107	Ps 16,1-2.5.7-9.11	1474			Mt 19,27-29	2273			.	NULL	NULL
180	Ursula und Gefährtinnen, Märtyrinnen in Köln (um 304)					Röm 8,31b-39	2287	Ps 34,2-9	1313			Joh 15,18-21	2276			.	NULL	NULL
181	Johannes von Capestrano, Ordenspriester, Wanderprediger (1456)					2 Kor 5,14-20	2405	Ps 16,1-2.5.7-9.11	1474			Lk 9,57-62	2190			.	NULL	NULL
182	Antonius Maria Claret, Bi. v. Santiago in Kuba, Ordensgr. (1870)					Jes 52,7-10	2593	Ps 96,1-3.7-8.10	934			Mk 1,14-20	758			.	NULL	NULL
183	SIMON UND JUDAS, APOSTEL					Eph 2,19-22	2594	Ps 19,2-3.4-5b	1312			|break|Lk 6,12-19	2595			.	NULL	NULL
184	Wolfgang, Bischof von Regensburg (994)					2 Kor 4,1-2.5-7	2361	Ps 96,1-3.7-8.10	934			Mt 9,35-10,1	2596			.	NULL	NULL
185	ALLERHEILIGEN				11636	Offb 7,2-4.9-14	2597	Ps 24,1-2.3-4.5-6	1317	|break|1 Joh 3,1-3	77	Mt 5,1-12a	2598			.	380; 479; 542; 543; 548	23; 32; 91
186	ALLERSEELEN				11637	Ijob 19,1.23-27a	308	|break|Ps 42,2-3.5bcd; 43,3-4	1318	|break|Röm 8,14-23	313	Joh 5,24-29	318			.	423; 434; 435; 503; 505; 507; 656	46; 61; 92; 253; 261
187	Hubert, Bischof von Lüttich (727); Pirmin, Abtbischof, Glaubensbote (753); Martin von Porres, Ordensmann (1639)					1 Kor 9,24-27; Eph 3,2-3a.5-11; Phil 4,4-9; 	2608; 2610; 2238	Ps 84,2-5.10-11a; Ps 67,2-3.5-6.8; Ps 131	!!!!; 1223; 1305			Mt 24,42-47; Lk 9,57-62; Mt 22,34-40	2609; 2190; 2292			.	NULL	NULL
188	Karl Borromäus, Bischof von Mailand (1584)					Röm 12,3-13	2488	Ps 89,2-3.20a.4-5.21-22.25.27	1481			Joh 10,11-16	2332			.	NULL	NULL
