id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
377	DREIFALTIGKEITSSONNTAG				11169	Dtn 4,32-34.39-40	492	|break|Ps 33,4-5.6 u. 9.18-19.20 u. 22	1243	|break|Röm 8,14-17	493	Mt 28,16-20	691	B		.	144; 352; 353; 354; 393; 405; 414	78; 108; 148; 177; 245.1
378	DREIFALTIGKEITSSONNTAG				11227	Spr 8,22-31	1	Ps 8,4-5.6-7.8-9|break|	1244	Röm 5,1-5	2	Joh 16,12-15	3	C		.	144; 352; 353; 354; 393; 405; 414	78; 108; 148; 177; 245.1
379	FRONLEICHNAM				11112	Dtn 8,2-3.14-16a	220	|break|Ps 147,12-13.14-15.19-20	896	|break|1 Kor 10,16-17	221	Joh 6,51-58	528	A		.	146; 213; 281; 282; 484; 495; 498; 642	195.2; 196
380	FRONLEICHNAM				11170	Ex 24,3-8	495	Ps 116,12-13.15-16.17-18	1144	Hebr 9,11-15	496	Mk 14,12-16.22-26	497	B		.	146; 213; 281; 282; 484; 495; 498; 642	82; 128; 195.2; 196; 233
381	FRONLEICHNAM				11228	Gen 14,18-20	4	Ps 110,1-2.3.4-5	920	1 Kor 11,23-26	741	Lk 9,11b-17	6	C		.	146; 213; 281; 282; 414; 484; 492; 495; 496; 498; 642	82; 108; 128; 182; 195.2; 196; 233
382	HEILIGSTES HERZ JESU				11250	Dtn 7,6-11	226	Ps 103,1-2.3-4.6-7.8 u. 10	1245	1 Joh 4,7-16	227	Mt 11,25-30	228	A		.	143; 359; 369; 371; 427	267.7
383	HEILIGSTES HERZ JESU				11171	Hos 11,1.3-4.8a.c-9	680	|break|Jes 12,2-3 u. 4bcd.5-6	911	|break|Eph 3,8-12.14-19	681	Joh 19,31-37	682	B		.	143; 358; 359; 369; 371; 399; 427	267.7
384	HEILIGSTES HERZ JESU				11229	Ez 34,11-16	1761	Ps 23,1-3.4.5.6	1246	Röm 5,5b-11	11	Lk 15,3-7	12	C		.	143; 358; 359; 369; 371; 399; 421; 427	106; 267.7
385	Unbeflecktes Herz Mariä					Jes 61,9-11	2334	1 Sam 2,1bcde.4-5b.6-7.8abcd	836			Lk 2,41-51	2335		evangelium	.	NULL	NULL
386	VERKLÄRUNG DES HERRN				11462	Dan 7,9-10.13-14	590	|break|Ps 97,1-2.5-6.8-9	1248	|break|2 Petr 1,16-19	521	Mt 17,1-9	147	A		.		NULL
387	VERKLÄRUNG DES HERRN				11462	Dan 7,9-10.13-14	590	|break|Ps 97,1-2.5-6.8-9	1248	|break|2 Petr 1,16-19	521	Mk 9,2-10	412	B		.		NULL
388	VERKLÄRUNG DES HERRN				11462	Dan 7,9-10.13-14	590	|break|Ps 97,1-2.5-6.8-9	1248	|break|2 Petr 1,16-19	521	Lk 9,28b-36	1732	C		.		NULL
389	CHRISTKÖNIGSSONNTAG					Ez 34,11-12.15-17a	333	Ps 23,1-3.4.5.6	1246	1 Kor 15,20-26.28	334	Mt 25,31-46	335	A		.	360; 370; 375; 392; 394; 474	47; 74; 245.1; 260
390	CHRISTKÖNIGSSONNTAG					Dan 7,2a.13b-14	520	Ps 93,1.2-3.4-5	1006	Offb 1,5b-8	591	Joh 18,33b-37	592	B		.	360; 370; 375; 392; 394; 474	47; 179; 243,4; 267,1; 260
391	CHRISTKÖNIGSSONNTAG				11262	2 Sam 5,1-3	85	Ps 122,1-3.4-5	1250	Kol 1,12-20	86	Lk 23,35b-43	87	C		.	360; 370; 375; 380; 386; 388; 392	74; 117; 179; 193; 260
392	1. ADVENTSSONNTAG				11076	Jes 2,1-5	88	Ps 122,1-3.4-5.6-7.8-9	770	|break|Röm 13,11-14a	89	Mt 24,29-44	630	A		.	220; 221; 223; 231; 233; 360	118; 259
393	1. ADVENTSSONNTAG				11147	Jes 63,16b-17.19b;64,3-7	336	Ps 80,2ac u. 3bc.15-16.18-19	768	|break|1 Kor 1,3-9	669	Mk 13,33-37	338	B		.	223; 225; 231; 233; 360; 634,2	258; 267,1
394	1. ADVENTSSONNTAG			Ps 85 (84),8	11207	Jer 33,14-16	593	Ps 25,4-5.8-9.10 u. 14	1193	|break|1 Thess 3,12 - 4,2	594	|break|Lk 21,25-28.34-36	595	C		.	221; 223; 231; 233; 360; 634,2	258; 267,1
395	Wochentag (1. Woche im Advent)		Mo			Jes 2,1-5	88	Ps 122,1-3.4-5.6-7.8-9	770			Mt 8,5-11	769			.	NULL	NULL
396	Wochentag (1. Woche im Advent)		Di			Jes 11,1-10	771	|break|Ps 72,1-2.7-8.12-13.17	772			|break|Lk 10,21-24	705			.	NULL	NULL
397	Wochentag (1. Woche im Advent)		Mi			Jes 25,6-10a	567	Ps 23,1-3.4.5.6	773			|break|Mt 15,29-37	774			.	NULL	NULL
398	Wochentag (1. Woche im Advent)		Do			Jes 26,1-6	775	|break|Ps 118,1-2.8-9.19-20.25-27a	776			|break|Mt 7,21.24-27	777			.	NULL	NULL
399	Wochentag (1. Woche im Advent)		Fr			Jes 29,17-24	778	Ps 27,1.4.13-14	779			Mt 9,27-31	780			.	NULL	NULL
400	Wochentag (1. Woche im Advent)		Sa			Jes 30,19-21.23-26	781	Ps 147,1-2.3-4.5-6	782			Mt 9,35 - 10,1.6-8	783			.	NULL	NULL
401	2. ADVENTSSONNTAG				11077	Jes 11,1-10	91	|break|Ps 72,1-2.7-8.12-13.17	772	|break|Röm 15,4-9	92	Mt 3,1-12	631	A		.	218; 222; 357; 551; 552; 621	193; 258
402	2. ADVENTSSONNTAG				11148	Jes 40,1-5.9-11	340	Ps 85,9-10.11-12.13-14	784	|break|2 Petr 3,8-14	341	Mk 1,1-8	670	B		.	218; 221; 227; 230; 552; 621	38; 250
403	2. ADVENTSSONNTAG			Lk 3,4.6	11208	Bar 5,1-9	596	Ps 126,1-2b.2c-3.4-5.6	1191	|break|Phil 1,4-6.8-11	597	Lk 3,1-6	1723	C		.	220; 225; 227; 230; 552; 621	38; 250
404	Wochentag (2. Woche im Advent)		Mo			Jes 35,1-10	785	Ps 85,9-10.11-12.13-14	1269			|break|Lk 5,17-26	786			.	NULL	NULL
405	Wochentag (2. Woche im Advent)		Di			Jes 40,1-11	787	Ps 96,1-2.3 u. 10ac.11-12.13	788			Mt 18,12-14	789			.	NULL	NULL
406	Wochentag (2. Woche im Advent)		Mi			Jes 40,25-31	795	Ps 103,1-2.3-4.8 u. 10	797			Mt 11,28-30	563			.	NULL	NULL
407	Wochentag (2. Woche im Advent)		Do			Jes 41,13-20	799	Ps 145,1 u. 9.10-11.12-13b	800			Mt 11,7b.11-15	796			.	NULL	NULL
408	Wochentag (2. Woche im Advent)		Fr			Jes 48,17-19	802	Ps 1,1-2.3.4 u. 6	801			Mt 11,16-19	803			.	NULL	NULL
409	Wochentag (2. Woche im Advent)		Sa			Sir 48,1-4.9-11	804	|break|Ps 80,2ac u. 3bc.15-16.18-19	768			|break|Mt 17,9a.10-13	805			.	NULL	NULL
410	3. ADVENTSSONNTAG				11078	Jes 35,1-6b.10	94	Ps 146,6-7.8-9a.9b-10	879	Jak 5,7-10	95	Mt 11,2-11	632	A		.	221; 223; 225; 228; 230	36; 45; 118
411	3. ADVENTSSONNTAG				11149	Jes 61,1-2a.10-11	343	|break|Lk 1,46b-48.49-50.53-54	806	|break|1 Thess 5,16-24	344	Joh 1,6-8.19-28	345	B		.	220; 223; 225; 228; 233	75; 118; 258
412	3. ADVENTSSONNTAG			vgl. Jes 61,1 (Lk 4,18)	11209	Zef 3,14-17	834	Jes 12,2.3 u. 4bcd.5-6	1194	Phil 4,4-7	600	Lk 3,10-18	601	C		.	218; 220; 221; 223; 225; 228; 233	75; 118; 258
413	Wochentag (3. Woche im Advent)		Mo			Num 24,2-7.15-17a	808	Ps 25,4-5.6-7.8-9	809			Mt 21,23-27	810			.	NULL	NULL
414	Wochentag (3. Woche im Advent)		Di			Zef 3,1-2.9-13	811	|break|Ps 34,2-3.6-7.17-18.19 u. 23	812			|break|Mt 21,28-32	692			.	NULL	NULL
415	Wochentag (3. Woche im Advent)		Mi			Jes 45,6b-8.18.21b-25	814	|break|Ps 85,9-10.11-12.13-14	815			Lk 7,18b-23	816			.	NULL	NULL
416	Wochentag (3. Woche im Advent)		Do			Jes 54,1-10	817	Ps 30,2 u. 4.5-6b.6cd u. 12a u. 13b	818			Lk 7,24-30	819			.	NULL	NULL
417	Wochentag (3. Woche im Advent)		Fr			Jes 56,1-3a.6-8	820	Ps 67,2-3.5.7-8	821			Joh 5,33-36	822			.	NULL	NULL
418	O Weisheit					Gen 49,1-2.8-10	823	|break|Ps 72,1-2.3-4b.7-8.17	824			|break|Mt 1,1-17	825			.	NULL	NULL
419	O Adonai					Jer 23,5-8	826	|break|Ps 72,1-2.12-13.18-19	827			|break|Mt 1,18-24	99			.	NULL	NULL
420	O Spross aus Isais Wurzel					Ri 13,2-7.24-25a	829	|break|Ps 71,3ab u. 3d-4a.5-6b.16-17	831			|break|Lk 1,5-25	830			.	NULL	NULL
421	O Schlüssel Davids					Jes 7,10-14	633	Ps 24,1-2.3-4.5-6	832			Lk 1,26-38	699			.	NULL	NULL
422	O Morgenstern					Hld 2,8-14	833	|break|Ps 33,2-3.11-12.20-21	837			|break|Lk 1,39-45	838			.	NULL	NULL
423	O König aller Völker					1 Sam 1,24-28	835	|break|1 Sam 2,1bcde.4-5b.6-8abcd	836			|break|Lk 1,46-56	270			.	NULL	NULL
424	O Immanuel|break|Kommem.: Johannes von Krakau, Priester (1473)					Mal 3,1-4.23-24	839	|break|Ps 25,4-5.8-9.10 u. 14	840			Lk 1,57-66	841			.	NULL	NULL
425	24. Dezember					2 Sam 7,1-5.8b-12.14a.16	842	Ps 89,2-3.20a u. 4-5.27 u. 29	844			|break|Lk 1,67-79	845			.	NULL	NULL
426	4. ADVENTSSONNTAG			vgl. Mt 1,23	11079	Jes 7,10-14	633	Ps 24,1-2.3-4.5-6	832	Röm 1,1-7	98	Mt 1,18-24	99	A		.	222; 224; 227; 231; 236; 537	142; 258
427	4. ADVENTSSONNTAG			vgl. Lk 1,38	11150	2 Sam 7,1-5.8b-12.14a.16	346	Ps 89,2-3.20a u. 4-5.27 u. 29	844	Röm 16,25-27	347	Lk 1,26-38	348	B		.	222; 224; 227; 528; 530; 537	95; 142
428	4. ADVENTSSONNTAG			vgl. Lk 1,38	11210	Mi 5,1-4a	602	|break|Ps 80,2ac u. 3bc.15-16.18-19	768	|break|Hebr 10,5-10	1725	Lk 1,39-45	838	C		.	222; 224; 227; 236; 528; 530; 537	95; 142
429	Weihnachtsoktav (29.12.)	29.12.				1 Joh 2,3-11	846	Ps 96,1-2.3-4.5-6	847			|break|Lk 2,22-35	848			.	NULL	NULL
430	Weihnachtsoktav (30.12.)	30.12.				1 Joh 2,12-17	849	Ps 96,7-8.9-10	850			Lk 2,36-40	851			.	NULL	NULL
431	Weihnachtsoktav (31.12.)	31.12.				1 Joh 2,18-21	852	Ps 96,1-2.11-12.13	853			Joh 1,1-18	111			.	NULL	NULL
432	FEST DER HEILIGEN FAMILIE				11242	Sir 3,2-6.12-14	635	Ps 128,1-2.3.4-5	862	Kol 3,12-21	113	Mt 2,13-15.19-23	114	A		.	239; 245, 2-4; 247; 251; 258	260; 273
433	FEST DER HEILIGEN FAMILIE				11151	Gen 15,1-6; 21,1-3	367	|break|Ps 105,1-2.3-4.5-6.8-9	863	|break|Hebr 11,8.11-12.17-19	369	Lk 2,22-40	370	B		.	239; 245, 2-4; 247; 251; 258	273 
434	FEST DER HEILIGEN FAMILIE			vgl. Apg 16,14b	11211	1 Sam 1,20-22.24-28	623	|break|Ps 84,2-3.5-6.9-10	1192	|break|1 Joh 3,1-2.21-24	625	Lk 2,41-52	626	C		.	239; 245, 2-4; 247; 251; 252; 258	273
435	2. SONNTAG NACH WEIHNACHTEN				11086	Sir 24,1-2.8-12	118	|break|Ps 147,12-13.14-15.19-20	872	|break|Eph 1,3-6.15-18	119	Joh 1,1-18	111	A		.	238; 239; 247; 252; 256	NULL
436	2. SONNTAG NACH WEIHNACHTEN				11152	Sir 24,1-2.8-12	118	|break|Ps 147,12-13.14-15.19-20	872	|break|Eph 1,3-6.15-18	119	Joh 1,1-18	111	B		.	238; 239; 247; 252; 256	NULL
437	2. SONNTAG NACH WEIHNACHTEN				11086	Sir 24,1-2.8-12	118	|break|Ps 147,12-13.14-15.19-20	872	|break|Eph 1,3-6.15-18	119	Joh 1,1-18	111	C		.	238; 239; 247; 252; 254; 256	
438	2. SONNTAG IM JAHRESKREIS				11114	Jes 49,3.5-6	127	|break|Ps 40,2 u. 4ab.7-8.9-10	912	1 Kor 1,1-3	128	|break|Joh 1,29-34	129	A		.	84; 143; 357; 385; 481	54; 133; 201
439	2. SONNTAG IM JAHRESKREIS				11173	1 Sam 3,3b-10.19	383	|break|Ps 40,2 u. 4ab.7-8.9-10	912	|break|1 Kor 6,13c-15a.17-20	384	Joh 1,35-42	385	B		.	143; 357; 366; 377; 385; 400; 477	54; 201; 252
440	2. SONNTAG IM JAHRESKREIS				11230	Jes 62,1-5	100	Ps 96,1-2.3-4.6-7.10	1195	1 Kor 12,4-11	1762	Joh 2,1-11	880	C		.	146; 272; 389; 400; 422; 484; 487	45; 88; 104; 149; 252
441	3. SONNTAG IM JAHRESKREIS				11115	Jes 8,23b - 9,3	650	Ps 27,1.4.13-14	779	1 Kor 1,10-13.17	131	Mt 4,12-23	132	A		.	216; 256, 3-4; 381; 456; 461	44; 198
442	3. SONNTAG IM JAHRESKREIS				11175	Jona 3,1-5.10	386	Ps 25,4-5.6-7.8-9	809	|break|1 Kor 7,29-31	387	Mk 1,14-20	409	B		.	144; 275; 362; 425; 456; 461; 481	133; 148; 256
443	3. SONNTAG IM JAHRESKREIS				11231	Neh 8,2-4a.5-6.8-10	1764	Ps 19,8.9.10.12 u. 15	1196	1 Kor 12,12-31a|break|	1765	Lk 1,1-4; 4,14-21	1767	C		.	149; 362; 365; 403; 449; 474; 551	47; 103; 180; 256
444	4. SONNTAG IM JAHRESKREIS				11116	Zef 2,3;3,12-13	133	Ps 146,5 u. 7.8-9a.9b-10	947	1 Kor 1,26-31	134	Mt 5,1-12a	135	A		.	142; 414; 458; 470; 543	32; 108; 130; 269
445	4. SONNTAG IM JAHRESKREIS				11176	Dtn 18,15-20	389	Ps 95,1-2.6-7c.7d-9	948	|break|1 Kor 7,32-35	390	Mk 1,21-28	391	B		.	140; 146; 147; 368; 400; 456; 489	56; 147; 252; 266
446	4. SONNTAG IM JAHRESKREIS				11231	Jer 1,4-5.17-19	1768	Ps 71,1-2.3.5-6.15 u. 17	1140	1 Kor 12,31 - 13,13|break|	1769	Lk 4,21-30	1771	C		.	148; 361; 393; 419; 445; 448	55; 131; 146; 268; 273
447	5. SONNTAG IM JAHRESKREIS				11117	Jes 58,7-10	136	Ps 112,4-5.6-7.8-9	967	1 Kor 2,1-5	137	Mt 5,13-16	138	A		.	216; 362; 440; 474	47; 53; 70; 198
448	5. SONNTAG IM JAHRESKREIS				11177	Ijob 7,1-4.6-7	392	Ps 147,1-2.3-4.5-6	968	|break|1 Kor 9,16-19.22-23	393	Mk 1,29-39	394	B		.	216; 362; 383; 422; 456; 464	103; 161; 198
449	5. SONNTAG IM JAHRESKREIS				11233	Jes 6,1-2a.3-8	1772	Ps 138,1-2b.2c-3.4-5.7c-8	1197	1 Kor 15,1-11	1773	Lk 5,1-11	1774	C		.	140; 365; 383; 435; 456; 461; 464	103; 147; 161; 259; 267.3
450	6. SONNTAG IM JAHRESKREIS				11118	Sir 15,15-20	986	|break|Ps 119,1-2.4-5.17-18.33-34	987	|break|1 Kor 2,6-10	653	Mt 5,17-37	654	A		.	146; 384; 429; 446; 447; 448	55; 242.2; 255
451	6. SONNTAG IM JAHRESKREIS				11178	Lev 13,1-2.43ac.44ab.45-46	395	Ps 32,1-2.5.10-11	988	|break|1 Kor 10,31 - 11,1	396	Mk 1,40-45	397	B		.	378; 384; 395; 414; 427; 439	108; 145; 267.4
452	6. SONNTAG IM JAHRESKREIS				11234	Jer 17,5-8	627	Ps 1,1-2.3.4 u. 6	1015	1 Kor 15,12.16-20	1775	Lk 6,17-18a.20-26	1776	C		.	143; 148; 361; 424; 427; 458; 459; 618,2	50; 51; 146; 270
453	7. SONNTAG IM JAHRESKREIS				11119	Lev 19,1-2.17-18	656	|break|Ps 103,1-2.3-4.9-10.12-13	1003	|break|1 Kor 3,16-23	657	Mt 5,38-48	658	A		.	427; 436; 440; 483	53; 87; 132
454	7. SONNTAG IM JAHRESKREIS			vgl. Lk 4,18	11179	Jes 43,18-19.21-22.24-25	398	Ps 41,2-5.13-14	1004	2 Kor 1,18-22	399	Mk 2,1-12	400	B		.	368; 382; 385; 409; 425; 456	62; 64; 65
455	7. SONNTAG IM JAHRESKREIS				11221	1 Sam 26,2.7-9.12-13.22-23	1777	Ps 103,1-2.3-4.8 u. 10.12-13	1251	1 Kor 15,45-49	1778	Lk 6,27-38	1779	C		.	382; 385; 446; 451; 452; 474	47; 56; 65; 199; 234
456	8. SONNTAG IM JAHRESKREIS				11120	Jes 49,14-15	659	Ps 62,2-3.6-9	1252	1 Kor 4,1-5	660	Mt 6,24-34	661	A		.	272; 392; 418; 422; 424; 425	104; 260; 267.7
457	8. SONNTAG IM JAHRESKREIS				11180	Hos 2,16b.17b.21-22	401	Ps 103	1251	2 Kor 3,1-6	402	Mk 2,18-22	403	B		.	148; 384; 395; 399; 477; 567	105; 146; 255
458	8. SONNTAG IM JAHRESKREIS				11236	Sir 27,4-7	1780	Ps 92,2-3.13-14.15-16	1253	1 Kor 15,54-58	38	Lk 6,39-45	1781	C		.	81; 148; 188; 384; 399; 418; 447	146; 202; 242.2; 263
459	9. SONNTAG IM JAHRESKREIS				11121	Dtn 11,18.26-28.32	223	Ps 31,2-4.17.20.24.25	1249	Röm 3,21-25a.28	224	Mt 7,21-27	225	A		.	140; 149; 382; 446	65; 147; 195.2
460	9. SONNTAG IM JAHRESKREIS				11181	Dtn 5,12-15	761	Ps 81,3-11	1254	2 Kor 4,6-11	762	Mk 2,23 - 3,6	763	B		.	103; 144; 358; 383; 414; 468	49; 108; 148; 161
461	9. SONNTAG IM JAHRESKREIS				11259	1 Kön 8,41-43	1782	Ps 117	1255	Gal 1,1-2.6-10	1783	Lk 7,1-10	1784	C		.	103; 383; 414; 425; 453; 468	49; 60; 89; 108; 161; 232
462	10. SONNTAG IM JAHRESKREIS				11122	Hos 6,3-6	229	Ps 50,7-8.12-13.14-15	1256	Röm 4,18-25	230	Mt 9,9-13	231	A		.	148; 377; 378; 489	136; 146
463	10. SONNTAG IM JAHRESKREIS				11182	Gen 3,9-15	766	Ps 130,1-2.3-4.5-7.7-8	1114	|break|2 Kor 4,13 - 5,1	767	Mk 3,20-35	1700	B		.	81; 140; 146; 446; 449; 484	37; 147; 202
464	10. SONNTAG IM JAHRESKREIS				11238	1 Kön 17,17-24	1369	Ps 30,2.4-6.9.11-13	1257	Gal 1,11-19	1370	Lk 7,11-17	1371	C		.	323; 377; 417; 449; 457; 484; 657,6	39; 43; 54; 81
465	11. SONNTAG IM JAHRESKREIS			Mk 1,15	11123	Ex 19,2-6a	232	Ps 100,1-3.4-5	1258	Röm 5,6-11	233	Mt 9,36 - 10,8	234	A		.	456; 477; 483; 484; 487	84; 132; 134
466	11. SONNTAG IM JAHRESKREIS				11183	Ez 17,22-24	498	Ps 92,2-3.13-14.15-16	1253	|break|2 Kor 5,6-10	316	Mk 4,26-34	500	B		.	216; 424; 425; 457; 474; 483	43; 132; 198
467	11. SONNTAG IM JAHRESKREIS				11239	2 Sam 12,7-10.13	7	Ps 32,1-2.5.7.11	1259	Gal 2,16ac.19-21	8	Lk 7,36-8,3	1785	C		.	145; 216; 283; 419; 483; 543	70; 96/97; 132; 198
468	12. SONNTAG IM JAHRESKREIS				11124	Jer 20,10-13	235	Ps 69,8 u. 10.14.33-34	1260	Röm 5,12-15	662	Mt 10,26-33	237	A		.	409; 428; 429; 455; 456	64; 65
469	12. SONNTAG IM JAHRESKREIS				11184	Ijob 38,1.8-11	501	|break|Ps 107,23-24.26-27.28-29.30-31	1261	|break|2 Kor 5,14-17	502	Mk 4,35-41	503	B		.	215; 399; 417; 422; 428; 429	42; 54; 104
470	12. SONNTAG IM JAHRESKREIS				11240	Sach 12,10-11; 13,1	13	Ps 63,2.3-4.5-6.8-9	1262	Gal 3,26-29	14	Lk 9,18-24	1786	C		.	147; 184; 367; 416; 446; 470	56; 98; 105; 130; 178.2
471	13. SONNTAG IM JAHRESKREIS				11125	2 Kön 4,8-11.14-16a	238	|break|Ps 89,2-3.16-17.18-19	1263	|break|Röm 6,3-4.8-11	239	Mt 10,37-42	240	A		.	147; 215; 275; 457; 460	43; 52; 269
472	13. SONNTAG IM JAHRESKREIS				11185	Weish 1,13-15; 2,23-24	1701	|break|Ps 30,2 u. 4.5-6b.6cd u. 12a u. 13b	818	|break|2 Kor 8,7.9.13-15	504	Mk 5,21-43	506	B		.	147; 385; 393; 456; 468; 484	41; 44; 49; 260
473	13. SONNTAG IM JAHRESKREIS				11241	1 Kön 19,16b.19-21	16	Ps 16,1-2 u. 5.7-8.9	1264	Gal 5,1.13-18	17	Lk 9,51-62	1787	C		.	144; 355; 385; 392; 455; 468	49; 100; 124; 148; 260; 274
474	14. SONNTAG IM JAHRESKREIS				11126	Sach 9,9-10	241	|break|Ps 145,1-2.8-9.10-11.13c-14	1265	|break|Röm 8,9.11-13	242	Mt 11,25-30	689	A		.	103; 145; 358; 395; 418	135; 145
475	14. SONNTAG IM JAHRESKREIS				11186	Ez 1,28c - 2,5	1703	Ps 123,1-2.3-4	1266	|break|2 Kor 12,7-10	508	Mk 6,1b-6	509	B		.	140; 142; 188; 216; 446; 481	56; 133; 198; 269
476	14. SONNTAG IM JAHRESKREIS				11242	Jes 66,10-14c	19	Ps 66,1-3.4-5.6-7.16 u. 20	1267	Gal 6,14-18	20	Lk 10,1-12.17-20	21	C		.	142; 216; 437; 447; 451; 479	23; 93; 102; 198; 199; 242.2
477	15. SONNTAG IM JAHRESKREIS				11127	Jes 55,10-11	244	Ps 65,10.11-12.13-14	1268	Röm 8,18-23	245	Mt 13,1-23	663	A		.	149; 210; 448; 449; 468	49; 54; 55
478	15. SONNTAG IM JAHRESKREIS				11187	Am 7,12-15	510	Ps 85,9.10.11-12.13-14	784	|break|Eph 1,3-14	511	Mk 6,7-13	513	B		.	81; 365; 403; 451; 455; 483	103; 132; 199; 202
479	15. SONNTAG IM JAHRESKREIS				11243	Dtn 30,9c-14	22	Ps 69,14 u. 17.30-31.33-34.36-37	1270	Kol 1,15-20	23	Lk 10,25-37	24	C		.	81; 358; 433; 453; 467; 470; 481	112; 130; 133; 202; 232
480	16. SONNTAG IM JAHRESKREIS			vgl. Mt 11,25	11128	Weish 12,13.16-19	248	|break|Ps 86,5-6.9-10.15-16	1271	|break|Röm 8,26-27	249	Mt 13,24-43	250	A		.	272; 437; 464; 485; 551	45; 93; 124
481	16. SONNTAG IM JAHRESKREIS			Joh 10,27	11188	Jer 23,1-6	514	Ps 23,1-3.4.5.6	1246	|break|Eph 2,13-18	515	Mk 6,30-34	516	B		.	367; 381; 421; 428; 458; 464	45; 50/51; 100; 106
482	16. SONNTAG IM JAHRESKREIS				11244	Gen 18,1-10a	25	Ps 15,2-3.4.5	1272	Kol 1,24-28	26	Lk 10,38-42	27	C		.	186; 361; 387; 388; 403; 428; 463	113; 181; 248; 266
483	17. SONNTAG IM JAHRESKREIS				11129	1 Kön 3,5.7-12	252	|break|Ps 119,57 u. 72.76-77.127-128.129-130	1273	|break|Röm 8,28-30	253	Mt 13,44-52	254	A		.	361, 1-3; 364; 365; 400; 403	103; 252; 270
484	17. SONNTAG IM JAHRESKREIS				11189	2 Kön 4,42-44	517	Ps 145,8-9.15-16.17-18	1274	Eph 4,1-6	1704	Joh 6,1-15	1644	B		.	145; 416; 418; 463; 487; 498	24; 39; 253; 273
485	17. SONNTAG IM JAHRESKREIS				11245	Gen 18,20-32	28	Ps 138,1-2b.2c-3.6-7b.7c-8	1275	Kol 2,12-14	29	Lk 11,1-13	1789	C		.	140; 436; 439; 472; 477; 618,2	134; 147; 253
486	18. SONNTAG IM JAHRESKREIS				11130	Jes 55,1-3	256	Ps 145,8-9.15-16.17-18	1274	Röm 8,35.37-39	257	Mt 14,13-21	258	A		.	186; 213; 425; 427; 468	49; 88; 181
487	18. SONNTAG IM JAHRESKREIS				11190	Ex 16,2-4.12-15	1705	|break|Ps 78,3-4b.23-25 u. 54	1276	|break|Eph 4,17.20-24	1706	Joh 6,24-35	1707	B		.	148; 188; 211; 377; 378; 394	35; 47; 88; 146
488	18. SONNTAG IM JAHRESKREIS				11246	Koh 1,2; 2,21-23	31	Ps 90,3-4.5-6.12-13.14 u. 17	1277	Kol 3,1-5.9-11	32	Lk 12,13-21	33	C		.	149; 367; 382; 429; 435; 458; 459; 465	48; 50; 51; 65
489	19. SONNTAG IM JAHRESKREIS				11131	1 Kön 19,9ab.11b-13	259	Ps 85,9-10.11-12.13-14	784	Röm 9,1-5	260	Mt 14,22-33	261	A		.	383; 387; 392; 399; 463	105; 161; 260
490	19. SONNTAG IM JAHRESKREIS				11191	1 Kön 19,4-8	523	Ps 34,2-3.4-5.6-7.8-9	1278	|break|Eph 4,30 - 5,2	524	Joh 6,41-51	1708	B		.	184; 382; 387; 396; 437; 469	65; 93; 149; 178.2
491	19. SONNTAG IM JAHRESKREIS				11247	Weish 18,6-9	34	Ps 33,1 u. 12.18-19.20 u. 22	1279	Hebr 11,1-2.8-19	35	Lk 12,32-48	1791	C		.	211; 446; 450; 469; 478; 552	41; 56; 83; 100; 234; 261
492	20. SONNTAG IM JAHRESKREIS				11132	Jes 56,1.6-7	686	Ps 67,2-3.5-6.8	1223	Röm 11,13-15.29-32	263	Mt 15,21-28	264	A		.	143; 209; 393; 551; 657,6	81; 148; 273
493	20. SONNTAG IM JAHRESKREIS				11192	Spr 9,1-6	526	Ps 34,2-3.10-15	1280	Eph 5,15-20	527	Joh 6,51-58	528	B		.	383; 402; 413; 440; 474; 498; 618,2	47; 53; 161; 195,2
494	20. SONNTAG IM JAHRESKREIS				11240	Jer 38,4-6.7a.8b-10	1793	Ps 40,2-3b.3c-4b.18	1281	Hebr 12,1-4	953	Lk 12,49-53	1794	C		.	84; 145; 210; 378; 383; 448	55; 161; 197; 201; 251; 267.4; 270
495	21. SONNTAG IM JAHRESKREIS				11133	Jes 22,19-23	271	Ps 138,1-2b.2c-3.6 u. 8	1282	Röm 11,33-36	272	Mt 16,13-20	273	A		.	384; 409; 478; 482	64; 266
496	21. SONNTAG IM JAHRESKREIS				11193	Jos 24,1-2a.15-17.18b	529	|break|Ps 34,2-3.16-17.18-19.20-21.22-23	1283	Eph 5,21-32	530	|break|Joh 6,60-69	531	B		.	142; 149; 210; 388; 419; 435	55; 76; 197; 259
497	21. SONNTAG IM JAHRESKREIS				11249	Jes 66,18-21	1795	Ps 117,1.2	1255	Hebr 12,5-7.11-13	44	Lk 13,22-30	45	C		.	103; 147; 412; 416; 425; 471; 483; 549	132; 135; 253
498	22. SONNTAG IM JAHRESKREIS				11134	Jer 20,7-9	274	Ps 63,2.3-4.5-6.8-9	1262	Röm 12,1-2	275	Mt 16,21-27	666	A		.	140; 187; 210; 272; 456	45; 62; 147
499	22. SONNTAG IM JAHRESKREIS				11194	Dtn 4,1-2.6-8	532	Ps 15,2-3.4.5	1272	Jak 1,17-18.21b-22.27	533	|break|Mk 7,1-8.14-15.21-23	534	B		.	389; 423; 446; 459; 467; 478	51; 56; 67; 180
